attr,if_loc,if_is,point,from_start,from_end,to_start,to_end
累加,,,-5,0,0,,-2
累加,,,20,0,0,-1,-1
逆接,1,claim,10,-1,0,1,1
逆接,1,ground,0,0,0,1,1
因果,,,-5,0,0,,-2
因果,,,20,0,0,-1,-1
並列,1,claim,10,-1,0,1,1
並列,1,ground,0,0,0,1,1
転換,,,-40,0,,,-1
例示,,,-5,0,0,,-2
例示,,,20,0,0,-1,-1
