word,point
つまるところ,1
そもそも,1
だとすれば,1
まずは,1
だからこそ,1
それも,1
そうして,1
というのも,1
ついては,1
それから,1
かくして,2
すると,2
そうしたら,2
こうして,2
とすれば,2
なぜなら,2
ですから,2
そして,2
それで,2
そうすると,2
だとすると,2
そうなると,2
ならば,2
即ち,3
なので,3
だから,3
つまり,4
次に,3
そこで,3
故に,4
よって,4
したがって,4
ゆえに,4
すなわち,4
従って,4
