word,point
かつ,3
と同時に,3
ならびに,2
または,1
次いで,2
そのうえに,1
ちなみに,-1
追って,1
しかも,2
そのうえで,1
及び,0
併せて,2
ともに,0
さらに,2
および,0
或いは,0
おなじく,1
もっとも,-1
そのうえ,1
ついで,2
それと,1
同じく,1
並びに,2
あわせて,2
そして,3
