attr,if_loc,if_is,point,from_start,from_end,to_start,to_end
転換,,,-40,,-1,0,
解説,,,0,,-2,0,0
解説,,,20,0,0,-1,-1
対比,1,claim,10,-1,0,1,1
対比,1,ground,10,-1,0,1,1
例示,,,-5,,-2,0,0
例示,,,20,0,0,-1,-1
付加,1,claim,10,-1,0,1,1
付加,1,ground,5,-1,-1,0,0
制限,,,10,0,0,1,1
譲歩,,,10,0,0,1,1
